timestamp,packet_rate,flow_count,byte_rate,switch_count
2026-01-01 00:00:00,49.731373,47.561787,75459.3,4.0
2026-01-01 00:05:00,57.15587,46.155704,86319.234,4.0
2026-01-01 00:10:00,60.543865,55.21168,89732.87,4.0
2026-01-01 00:15:00,62.42049,57.060516,93798.27,4.0
2026-01-01 00:20:00,60.630737,44.599846,90624.03,4.0
2026-01-01 00:25:00,58.780132,50.701656,88050.47,4.0
2026-01-01 00:30:00,53.49274,37.39313,80272.59,4.0
2026-01-01 00:35:00,50.04011,48.117924,73580.86,4.0
2026-01-01 00:40:00,46.455368,38.107086,67691.06,4.0
2026-01-01 00:45:00,46.828518,38.1629,70262.78,4.0
2026-01-01 00:50:00,47.811165,33.92331,71328.445,4.0
2026-01-01 00:55:00,54.179436,40.309593,81046.54,4.0
2026-01-01 01:00:00,57.501026,47.131767,85602.04,4.0
2026-01-01 01:05:00,62.873295,50.753597,94297.83,4.0
2026-01-01 01:10:00,68.04154,52.50765,100385.29,4.0
2026-01-01 01:15:00,70.73605,60.980537,106130.086,4.0
2026-01-01 01:20:00,70.00696,55.99326,102452.23,4.0
2026-01-01 01:25:00,66.05692,47.79222,98346.66,4.0
2026-01-01 01:30:00,61.837593,53.07198,92270.54,4.0
2026-01-01 01:35:00,57.44194,40.15717,84319.42,4.0
2026-01-01 01:40:00,52.960423,32.751152,80703.89,4.0
2026-01-01 01:45:00,54.313736,43.93177,81372.305,4.0
2026-01-01 01:50:00,53.95635,38.011646,80176.01,4.0
2026-01-01 01:55:00,58.376663,47.591892,89446.24,4.0
2026-01-01 02:00:00,65.079025,56.14501,97838.61,4.0
2026-01-01 02:05:00,70.26834,61.137188,105751.22,4.0
2026-01-01 02:10:00,75.6014,62.96936,113160.516,4.0
2026-01-01 02:15:00,77.14146,55.08285,115154.26,4.0
2026-01-01 02:20:00,76.033745,57.22624,114239.055,4.0
2026-01-01 02:25:00,101.14645,80.94424,148863.69,4.0
2026-01-01 02:30:00,68.319405,54.73092,100587.164,4.0
2026-01-01 02:35:00,64.31275,46.740654,94944.734,4.0
2026-01-01 02:40:00,60.87756,46.389885,88903.055,4.0
2026-01-01 02:45:00,85.39168,72.365135,128533.086,4.0
2026-01-01 02:50:00,62.16427,52.250134,92455.6,4.0
2026-01-01 02:55:00,68.74713,53.455433,104257.32,4.0
2026-01-01 03:00:00,71.678314,62.490917,107225.75,4.0
2026-01-01 03:05:00,77.50397,55.370625,115296.53,4.0
2026-01-01 03:10:00,80.28198,68.33659,120189.836,4.0
2026-01-01 03:15:00,140.08813,115.49348,211077.44,4.0
2026-01-01 03:20:00,82.15795,69.45982,122820.67,4.0
2026-01-01 03:25:00,77.11643,63.175457,116755.64,4.0
2026-01-01 03:30:00,74.95426,56.69717,113361.72,4.0
2026-01-01 03:35:00,69.2473,58.3578,103131.016,4.0
2026-01-01 03:40:00,65.84355,50.596733,98108.945,4.0
2026-01-01 03:45:00,65.5351,53.454273,97590.97,4.0
2026-01-01 03:50:00,67.17144,50.097656,99385.13,4.0
2026-01-01 03:55:00,70.700874,54.836243,104395.695,4.0
